2026-03-07 20:23:09 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-07 20:23:09 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-07 20:23:10 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-07 20:23:12 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-07 20:23:12 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-07 20:23:12 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-07 20:23:12 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-07 20:23:12 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-07 20:23:19 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-07 20:23:19 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-07 20:23:19 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-07 20:23:19 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-07 20:23:20 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
