2026-04-01 11:00:18 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 6 detection strategies
2026-04-01 11:00:18 | crawler.state_manager | INFO | StateManager initialized (normalization=ON)
2026-04-01 11:00:18 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 11:00:18 | crawler.page_loader | INFO | PageLoader initialized: chromium, headless=False
2026-04-01 11:00:20 | crawler.page_loader | INFO | 📂 Loaded session from: auth_session.json
2026-04-01 11:00:21 | crawler.page_loader | INFO | ✅ Font bypass and animation disable injected
2026-04-01 11:00:21 | crawler.page_loader | INFO | ✅ Browser started successfully
2026-04-01 11:00:21 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:3007
2026-04-01 11:00:39 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:3007
2026-04-01 11:00:51 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:00:51 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:01:09 | crawler.state_manager | INFO | ✅ New state: 097a3375 | / | 4 inputs, 1 forms
2026-04-01 11:01:09 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:3007/settings
2026-04-01 11:01:19 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:01:19 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:01:36 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 11:01:40 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:01:40 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:01:40 | crawler.state_manager | INFO | ✅ New state: ae4fa27d | /settings | 4 inputs, 1 forms
2026-04-01 11:01:40 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:3007/tasks
2026-04-01 11:01:51 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:01:51 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:02:08 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 11:02:12 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:02:12 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 5 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:02:12 | crawler.state_manager | INFO | ✅ New state: ff37852c | /tasks | 5 inputs, 1 forms
2026-04-01 11:02:12 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:3007/
2026-04-01 11:02:21 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 11:02:21 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 3 links
2026-04-01 11:02:51 | crawler.page_loader | INFO | 🛑 Browser closed
