2026-03-31 01:47:30 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 6 detection strategies
2026-03-31 01:47:30 | crawler.state_manager | INFO | StateManager initialized (normalization=ON)
2026-03-31 01:47:30 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-03-31 01:47:30 | crawler.page_loader | INFO | PageLoader initialized: chromium, headless=False
2026-03-31 01:47:34 | crawler.page_loader | INFO | 📂 Loaded session from: auth_session.json
2026-03-31 01:47:35 | crawler.page_loader | INFO | ✅ Font bypass and animation disable injected
2026-03-31 01:47:35 | crawler.page_loader | INFO | ✅ Browser started successfully
2026-03-31 01:47:35 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:5500/test_websites/site4_search/index.html
2026-03-31 01:47:48 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-03-31 01:47:53 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-03-31 01:47:53 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-03-31 01:48:00 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-03-31 01:48:00 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-03-31 01:48:09 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-03-31 01:48:12 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-03-31 01:48:12 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-03-31 01:48:13 | crawler.state_manager | INFO | ✅ New state: a82e667e | /test_websites/site4_search/index.html | 4 inputs, 1 forms
2026-03-31 01:48:14 | crawler.page_loader | INFO | 🛑 Browser closed
