2026-04-01 11:45:54 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-04-01 11:45:54 | app.components.graph_viz | INFO | ✅ Added 3 nodes
2026-04-01 11:45:54 | app.components.graph_viz | INFO | ✅ Graph: 3 nodes, 2 edges
2026-04-01 11:45:55 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-04-01 11:45:55 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-04-01 12:33:56 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-04-01 12:33:56 | app.components.graph_viz | INFO | ✅ Added 4 nodes
2026-04-01 12:33:56 | app.components.graph_viz | INFO | ✅ Graph: 4 nodes, 3 edges
2026-04-01 12:33:58 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-04-01 12:33:59 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
