2026-03-28 15:27:53 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:27:54 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 15:27:54 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 15:27:54 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:27:54 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:28:54 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:28:54 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 15:28:54 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 15:28:54 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:28:54 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:28:56 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:28:56 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 15:28:56 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 1 edges
2026-03-28 15:28:57 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:28:57 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:30:04 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:30:04 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 15:30:04 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 1 edges
2026-03-28 15:30:04 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:30:04 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:30:06 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:30:06 | app.components.graph_viz | INFO | ✅ Added 22 nodes
2026-03-28 15:30:06 | app.components.graph_viz | INFO | ✅ Graph: 22 nodes, 21 edges
2026-03-28 15:30:06 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:30:08 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:31:26 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:31:26 | app.components.graph_viz | INFO | ✅ Added 22 nodes
2026-03-28 15:31:26 | app.components.graph_viz | INFO | ✅ Graph: 22 nodes, 21 edges
2026-03-28 15:31:27 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:31:29 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:32:31 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:32:31 | app.components.graph_viz | INFO | ✅ Added 22 nodes
2026-03-28 15:32:31 | app.components.graph_viz | INFO | ✅ Graph: 22 nodes, 21 edges
2026-03-28 15:32:31 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:32:32 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:32:32 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 15:32:32 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 15:32:33 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:32:34 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:32:41 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:32:41 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 15:32:41 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 15:32:41 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:32:42 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:32:45 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:32:45 | app.components.graph_viz | INFO | ✅ Added 2 nodes
2026-03-28 15:32:45 | app.components.graph_viz | INFO | ✅ Graph: 2 nodes, 1 edges
2026-03-28 15:32:45 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:32:46 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:32:48 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:32:48 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 15:32:48 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 1 edges
2026-03-28 15:32:48 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:32:48 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:33:31 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:33:31 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-28 15:33:31 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 1 edges
2026-03-28 15:33:31 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:33:31 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:33:33 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:33:33 | app.components.graph_viz | INFO | ✅ Added 22 nodes
2026-03-28 15:33:33 | app.components.graph_viz | INFO | ✅ Graph: 22 nodes, 21 edges
2026-03-28 15:33:33 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-28 15:33:35 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-28 15:33:42 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-28 15:33:42 | app.components.graph_viz | INFO | ✅ Added 22 nodes
2026-03-28 15:33:42 | app.components.graph_viz | INFO | ✅ Graph: 22 nodes, 21 edges
2026-03-28 15:33:42 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
