2026-03-31 02:15:58 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-31 02:15:58 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-31 02:15:58 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-31 02:15:59 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-31 02:15:59 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-31 02:16:13 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-31 02:16:13 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-31 02:16:13 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-31 02:16:13 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-31 02:16:14 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-31 02:16:14 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-31 02:16:14 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-31 02:16:14 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-31 02:16:15 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
2026-03-31 02:16:30 | app.components.graph_viz | INFO | GraphVisualizer initialized
2026-03-31 02:16:30 | app.components.graph_viz | INFO | ✅ Added 1 nodes
2026-03-31 02:16:30 | app.components.graph_viz | INFO | ✅ Graph: 1 nodes, 0 edges
2026-03-31 02:16:30 | app.components.graph_viz | INFO | 📊 Saved: data\temp_graph.html
2026-03-31 02:16:31 | app.utils.exporter | INFO | Exporter initialized: data/crawled_graphs
