2026-04-01 10:48:38 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 6 detection strategies
2026-04-01 10:48:38 | crawler.state_manager | INFO | StateManager initialized (normalization=ON)
2026-04-01 10:48:38 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 10:48:38 | crawler.page_loader | INFO | PageLoader initialized: chromium, headless=False
2026-04-01 10:48:55 | crawler.page_loader | INFO | 📂 Loaded session from: auth_session.json
2026-04-01 10:48:56 | crawler.page_loader | INFO | ✅ Font bypass and animation disable injected
2026-04-01 10:48:56 | crawler.page_loader | INFO | ✅ Browser started successfully
2026-04-01 10:48:56 | crawler.page_loader | INFO | 🌐 Loading: http://localhost:5500/test_websites/site1_contact/index.html
2026-04-01 10:49:06 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 10:49:10 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 10:49:10 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 10:49:19 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 10:49:19 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 10:49:26 | crawler.dom_analyzer | INFO | DOMAnalyzer initialized with 7 detection strategies (AI vision enabled)
2026-04-01 10:49:29 | crawler.dom_analyzer | INFO | 🤖 AI Vision: Detected 1 forms from screenshot analysis
2026-04-01 10:49:29 | crawler.dom_analyzer | INFO | 📊 Analysis complete: 4 inputs, 1 forms, 1 buttons, 0 links
2026-04-01 10:49:30 | crawler.state_manager | INFO | ✅ New state: 68dc047c | /test_websites/site1_contact/index.html | 4 inputs, 1 forms
2026-04-01 10:49:31 | crawler.page_loader | INFO | 🛑 Browser closed
