url,normalized_url,title,input_count,form_count,link_count
https://getbootstrap.com/docs/5.1/forms/form-control/,/docs/5.1/forms/form-control,Form controls · Bootstrap v5.1,20,1,109
https://getbootstrap.com/docs/5.1/components/progress/,/docs/5.1/components/progress,Progress · Bootstrap v5.1,1,0,109
https://getbootstrap.com/docs/5.1/customize/color/,/docs/5.1/customize/color,Color · Bootstrap v5.1,1,0,109
